           #Time            Temp             Kin       Potencial           E_tot        Pressure
  0.17753163E+00  0.29949505E+03  0.37352096E+01  0.85873706E+00  0.45939466E+01  0.20538599E+09
  0.17827135E+00  0.29231122E+03  0.36456151E+01  0.85421968E+00  0.44998348E+01  0.20538599E+09
  0.17901106E+00  0.30832293E+03  0.38453082E+01  0.83738911E+00  0.46826973E+01  0.20538599E+09
  0.17975078E+00  0.30221678E+03  0.37691541E+01  0.89505805E+00  0.46642122E+01  0.20538599E+09
  0.18049049E+00  0.30051786E+03  0.37479658E+01  0.89882158E+00  0.46467874E+01  0.20538599E+09
  0.18123021E+00  0.30094023E+03  0.37532334E+01  0.85750958E+00  0.46107429E+01  0.20538599E+09
  0.18196992E+00  0.30187826E+03  0.37649322E+01  0.82040458E+00  0.45853368E+01  0.20538599E+09
  0.18270964E+00  0.30091793E+03  0.37529553E+01  0.83705264E+00  0.45900079E+01  0.20538599E+09
  0.18344935E+00  0.29747811E+03  0.37100550E+01  0.81834806E+00  0.45284030E+01  0.20538599E+09
  0.18418907E+00  0.29902771E+03  0.37293811E+01  0.83153129E+00  0.45609124E+01  0.20538599E+09
  0.18492878E+00  0.29621206E+03  0.36942651E+01  0.86109203E+00  0.45553571E+01  0.20538599E+09
